“Timestamp”, “Disk troughput”
1432123200,3088837.4050987484
1432166400,193007.83184856514
1432209600,3164436.9708031774
1432252800,251606.7675834599
1432296000,3159948.6210654494
1432339200,196300.710165556
1432382400,3203134.85699787
1432425600,193226.36544503114
1432468800,3242041.080830852
1432512000,192796.5980189202
1432555200,3294113.3227837784
1432598400,194124.57717802073
1432641600,3321467.3970213966
1432684800,164590.83120907762
1432728000,3369754.8669300335
1432771200,168789.8403813279
1432814400,3406285.8709526965
1432857600,171626.74185825035
1432900800,3431998.465544686
1432944000,175718.2875437077
1432987200,3498228.870612094
1433030400,170923.69119028642
1433073600,3565614.3415260445
1433116800,194308.01294308342
1433160000,2801862.91056648
1433203200,193779.0272864533
1433246400,2780212.2267214484
1433289600,193787.2429999238
1433332800,2828820.2291620113
1433376000,208622.36504271725
1433419200,3318578.43422707
1433462400,206227.03999388346
1433505600,2909623.371708194
1433548800,190620.3992302749
1433592000,2930238.347722488
1433635200,190978.52101902151
1433678400,2987052.252404385
1433721600,191559.6199857314
1433764800,3049258.3547835597
1433808000,190057.06147315825
1433851200,3084036.806357972
1433894400,207464.03638555235
1433937600,3138622.89644546
1433980800,195578.57863034483
1434024000,3190952.667384478
1434067200,189827.6945518708
1434110400,3249020.205585915
1434153600,195568.01101222634
1434196800,3265011.6168977595
1434240000,195788.05137962548
1434283200,3350763.0577125545
1434326400,196524.42299965868
1434369600,3398198.2137173777
1434412800,202064.45711051647
1434456000,3453199.0540028643
1434499200,197395.13447757805
1434542400,3490147.5146392044
1434585600,200030.22808990872
1434628800,3534521.4215133027
1434672000,231238.04086998073
1434715200,3581061.4136890857
1434758400,208038.5710944455
1434801600,3600821.881778681
1434844800,197374.2828963254
1434888000,3675916.2389369044
1434931200,197823.24498266133
1434974400,3719255.7575695105
1435017600,198792.89115335105
1435060800,3768107.4526040675
1435104000,198510.62117399042
1435147200,3827127.9057134707
1435190400,179455.48672254238
1435233600,3828838.1487633255
1435276800,192543.92401148178
1435320000,3868978.0159012633
1435363200,178704.30961497355
1435406400,3898182.8928486165
1435449600,177202.65710422816
1435492800,3943868.7768716384
1435536000,178840.2330945637
1435579200,3996087.7208577823
1435622400,201741.26938659465
1435665600,4136214.2641451946
1435708800,185472.87420476135
1435752000,3708129.1217600275
1435795200,204944.69820885232
1435838400,3724100.6053896393
1435842000,206973.18823359295
1435845600,206993.93386261092
1435847400,190480.9708243954
1435847460,453855.0044447666
1435847520,112402.80225955932
1435847580,102510.79344262295
