“Timestamp”,”Disk Troughput”
1431129600,1382687.078835584
1431216000,1393530.2642243905
1431302400,1425582.0793530366
1431388800,1442379.0324698002
1431475200,1460781.2059970594
1431561600,1485453.8188704445
1431648000,1501917.950198692
1431734400,1530176.401713732
1431820800,1544493.5126082918
1431907200,1576168.833882296
1431993600,1603429.4165350422
1432080000,1627279.1705861895
1432166400,1640922.6184736567
1432252800,1708021.8691933188
1432339200,1678124.6656155027
1432425600,1698180.6112214506
1432512000,1717418.839424886
1432598400,1744118.9499808997
1432684800,1743029.114115237
1432771200,1769272.3536556808
1432857600,1788956.3064054735
1432944000,1803858.3765441969
1433030400,1834576.2809011904
1433116800,1879961.177234564
1433203200,1497820.9689264665
1433289600,1486999.7348606861
1433376000,1518721.2971023642
1433462400,1762402.7371104767
1433548800,1550121.8854692343
1433635200,1560608.4343707548
1433721600,1589305.936195058
1433808000,1619657.708128359
1433894400,1645750.4213717622
1433980800,1667100.7375379025
1434067200,1690390.1809681742
1434153600,1722294.1082990707
1434240000,1730399.8341386926
1434326400,1773643.7403561065
1434412800,1800131.335413947
1434499200,1825297.0942402212
1434585600,1845088.8713645565
1434672000,1882879.7311916417
1434758400,1894549.9923917656
1434844800,1899098.0823375033
1434931200,1936869.7419597828
1435017600,1959024.3243614307
1435104000,1983309.036889029
1435190400,2003291.6962180065
1435276800,2010691.0363874037
1435363200,2023841.1627581185
1435449600,2037692.7749764223
1435536000,2061354.504983101
1435622400,2098914.4951221887
1435708800,2160843.569174978
1435795200,1956536.9099844398
1435838400,3724100.6053896393
1435842000,206973.18823359295
1435845600,206993.93386261092
1435847400,190480.9708243954
1435847700,174560.12002945645
