“Timestamp”,”Active memory”
1429142400,3247599001.999834
1429228800,3285751254.8953114
1429315200,3258635334.5116396
1429401600,3293936406.6904707
1429488000,3285180258.5945473
1429574400,3201349162.5237036
1429660800,3094509678.0334835
1429747200,3350084512.7478924
1429833600,3786505210.923901
1429920000,4083658339.4573064
1430006400,4030664625.3394384
1430092800,4143230679.5976048
1430179200,4099678579.313364
1430265600,4231642733.111711
1430352000,4468067137.1892395
1430611200,4705220118.229918
1430697600,4508773398.884424
1430784000,1175745990.9284997
1430870400,1122034484.9505095
1430956800,1235806267.6477132
1431043200,1230034916.4087152
1431129600,1249976095.154332
1431216000,1236457990.2502391
1431302400,1201143077.2549007
1431388800,1215462976.5712314
1431475200,1221806940.3896203
1431561600,1248822752.9487314
1431648000,1228312412.8501763
1431734400,1236883050.7638998
1431820800,1231494075.731989
1431907200,1233976023.0106072
1431993600,1243328299.1996818
1432080000,1082008525.3437166
1432166400,1202545189.3960667
1432252800,1223180281.5281167
1432339200,1211849691.7994332
1432425600,1241095770.3675308
1432512000,1237921628.711957
1432598400,1250873686.9707434
1432684800,1255232516.6689923
1432771200,1239071487.7416472
1432857600,1115975356.1313376
1432944000,1177740086.4435809
1433030400,1192392588.0843198
1433116800,1196868878.744687
1433203200,1238231170.2878718
1433289600,1260196937.8753138
1433376000,1235528816.7250316
1433462400,1237771767.3487897
1433548800,1251491863.383545
1433635200,1263178346.514533
1433721600,1253005045.0055065
1433808000,1229713838.0784779
1433894400,1248476431.0067167
1433980800,1261895778.1386063
1434067200,1263977738.2338438
1434153600,1258675964.0620832
1434240000,1258163146.7006807
1434326400,1258330580.3488486
1434412800,1252830015.0051515
1434499200,1259315372.697023
1434585600,1259337480.173276
1434672000,1277590989.5124567
1434758400,1267088001.1954322
1434844800,1250187890.5014265
1434931200,1276269958.396689
1435017600,1274431394.261439
1435104000,1300570060.0456767
1435190400,1293215460.4742327
1435276800,1289849269.9747024
1435363200,1273624664.5172324
1435449600,1270876987.9943345
1435536000,1247445020.8571334
1435622400,1269311750.88419
1435708800,1274107702.100688
1435795200,1276948089.486093
1435881600,1270528254.2715664
1435924800,1281494029.023332
1435925700,1316802296.0355556
1435926000,1304314647.8933332
1435926060,1301284044.8
1435926120,1304452846.9333334
