“Timestamp”,”Used disk space”
1426899600,3978064691.2000003
1426903200,3978064620.0392275
1426906800,3978064556.601426
1426910400,3978064554.6666665
1426914000,3978064696.8888884
1426917600,3978064685.511111
1426921200,3978064554.6666665
1426924800,3978064692.16738
1426928400,3978064623.2131147
1426932000,3978064829.8223677
1426935600,3978065516.088889
1426939200,3978068935.1111107
1426942800,3978068855.6531878
1426946400,3978069054.5777774
1426950000,3978068918.044444
1426953600,3978068787.2000003
1426957200,3978068923.7333336
1426960800,3978068935.1111107
1426964400,3978068781.5111113
1426968000,3978068724.622222
1426971600,3978068718.9333334
1426975200,3978068787.2000003
1426978800,3978068849.7777777
1426982400,3978068781.511111
1426986000,3978068650.6666665
1426989600,3978068787.1067395
1426993200,3978068582.3067393
1426996800,3978068451.5555553
1427000400,3978068650.666667
1427004000,3978068644.977777
1427007600,3978068718.9333334
1427011200,3978068786.1393595
1427014800,3978068789.13476
1427018400,3978068718.9333334
1427022000,3978069612.088889
1427025600,3978073031.111111
1427029200,3978072883.2000003
1427032800,3978072814.9333334
1427036400,3978072814.9333334
1427040000,3978072876.450471
1427043600,3978072746.666666
1427047200,3978072814.9333334
1427050800,3978072882.13936
1427054400,3978072809.2444444
1427058000,3978072950.406027
1427061600,3978072814.8561954
1427065200,3978072949.345386
1427068800,3978072883.2
1427072400,3978072951.466666
1427076000,3978072816.9613533
1427079600,3978072963.9050846
1427083200,3978072943.656497
1427086800,3978072953.401426
1427090400,3978072947.619277
1427094000,3978072820.622222
1427097600,3978072886.7676086
1427101200,3978072877.5111113
1427104800,3978072951.466667
1427108400,3978073708.088889
1427112000,3978077042.057559
1427115600,3978077049.4014263
1427119200,3978077386.6787195
1427122800,3978076917.589602
1427126400,3978077047.466666
1427130000,3978077182.939359
1427133600,3978077110.044444
1427137200,3978077047.6531878
1427140800,3978076909.872693
1427144400,3978076989.5171375
1427148000,3978077115.7333336
1427151600,3978077041.7777777
1427155200,3978076768.7111106
1427158800,3978076909.872693
1427162400,3978076908.905313
1427166000,3978076774.586521
1427169600,3978076854.044444
1427173200,3978077115.7333326
1427176800,3978077036.0888886
1427180400,3978076910.9333334
1427184000,3978077115.826594
1427187600,3978076910.9333334
1427191200,3978077047.4666667
1427194800,3978077804.088889
1427198400,3978081020.2458706
1427202000,3978081826.133333
1427205600,3978081139.7125373
1427209200,3978081012.545085
1427212800,3978081070.38523
1427216400,3978081007.119854
1427220000,3978081136.6238766
1427223600,3978080938.6666665
1427227200,3978081086.577778
1427230800,3978081069.697632
1427234400,3978081075.2
1427238000,3978081141.3453865
1427241600,3978081069.511111
1427245200,3978081006.933333
1427248800,3978081217.3289614
1427252400,3978081137.7777777
1427256000,3978081080.8888884
1427259600,3978081070.4784904
1427263200,3978081143.466666
1427266800,3978081217.422222
1427270400,3978081143.466666
1427274000,3978080865.678491
1427277600,3978081075.2
1427281200,3978082793.151183
1427284800,3978086821.0710382
1427288400,3978086804.3487177
1427292000,3978086530.8444443
1427295600,3978085984.8043714
1427299200,3978085108.622222
1427302800,3978085715.305313
1427306400,3978086604.986521
1427310000,3978086603.83262
1427313600,3978086810.56738
1427317200,3978087156.622222
1427320800,3978086459.395857
1427324400,3978085236.0982246
1427328000,3978086991.2828627
1427331600,3978086945.1659536
1427335200,3978087369.1230083
1427338800,3978087215.3687334
1427342400,3978087147.365725
1427346000,3978087081.6992874
1427349600,3978087360.4548426
1427353200,3978087350.0444446
1427356800,3978087286.3127656
1427360400,3978087220.16738
1427364000,3978087296.0576954
1427367600,3978088046.21017
1427371200,3978091035.4770646
1427374800,3978091315.2
1427378400,3978091247.900713
1427382000,3978091051.004143
1427385600,3978091323.0933137
1427389200,3978091376.623877
1427392800,3978091310.5717516
1427396400,3978091314.2326202
