“Timestamp”,”Used disk space”
1432814400,8297131903.407867
1432836000,8930620379.398829
1432857600,10096739389.21205
1432879200,10379986746.375505
1432900800,8323080028.988945
1432922400,8901493265.450571
1432944000,9533913858.150076
1432965600,9807745422.687166
1432987200,8460060650.372723
1433008800,9152175616.42852
1433030400,9815947317.16774
1433052000,9832255172.210356
1433073600,8237278490.344144
1433095200,9132622563.253458
1433116800,10550205171.894009
1433138400,10716117387.123234
1433160000,8149241369.578712
1433181600,8920808814.392576
1433203200,10174648350.186373
1433224800,10343859652.228998
1433246400,8309735557.310234
1433268000,9065759723.313349
1433289600,10263714297.615658
1433311200,10686743670.112474
1433332800,8224288151.662604
1433354400,8917223227.694921
1433376000,10076669263.559183
1433397600,10261538624.557219
1433419200,8273847251.202195
1433440800,8824039298.403284
1433462400,9802643284.14612
1433484000,10258211761.387274
1433505600,8213975151.8939705
1433527200,8761925698.633612
1433548800,9353876226.8268
1433570400,9752310404.095787
1433592000,8405033967.389958
1433613600,8940496564.930567
1433635200,9517214952.032911
1433656800,9696846457.31996
1433678400,8224513980.168515
1433700000,8883298600.19607
1433721600,10003427463.635155
1433743200,10358442334.513176
1433764800,8143677388.408647
1433786400,8790371111.599627
1433808000,9977853998.318209
1433829600,10235258005.491388
1433851200,8250589723.682277
1433872800,8902668119.4348
1433894400,10014387445.697285
1433916000,10377506492.60266
1433937600,8268037979.200671
1433959200,8889029051.897335
1433980800,10034158291.736814
1434002400,10493729171.558546
1434024000,8229517154.543861
1434045600,8799144769.616196
1434067200,9861874949.665596
1434088800,10345810620.46309
1434110400,8406669145.895683
1434132000,8961327576.027527
1434153600,9551954649.06799
1434175200,9770375069.87298
1434196800,8504702765.110153
1434218400,9110424806.374544
1434240000,9670449829.676641
1434261600,9858215333.754185
1434283200,8260872154.425517
1434304800,9016481920.63268
1434326400,10163810311.721167
1434348000,10503458047.567043
1434369600,8247197153.073911
1434391200,8911028234.531027
1434412800,10076991711.075548
1434434400,10466177944.497696
1434456000,8277227607.543805
1434477600,8870360871.21487
1434499200,9917723354.996384
1434520800,10347256848.475115
