“Timestamp” ,”Users”
1435233600,9498.0
1435237200,9500.990033222592
1435240800,9505.0
1435244400,9507.0
1435248000,9507.0
1435251600,9507.0
1435255200,9508.0
1435258800,9508.0
1435262400,9510.0
1435266000,9510.0
1435269600,9513.0
1435273200,9513.0
1435276800,9513.0
1435280400,9513.0
1435284000,9513.0
1435287600,9513.0
1435291200,9514.0
1435294800,9514.0
1435298400,9514.993333333334
1435302000,9515.0
1435305600,9517.0
1435309200,9518.0
1435312800,9519.0
1435316400,9521.0
1435320000,9522.0
1435323600,9523.0
1435327200,9524.0
1435330800,9526.990033222592
1435334400,9527.0
1435338000,9527.0
1435341600,9528.0
1435345200,9528.0
1435348800,9528.0
1435352400,9528.0
1435356000,9528.0
1435359600,9528.0
1435363200,9528.0
1435366800,9528.0
1435370400,9528.0
1435374000,9528.0
1435377600,9528.0
1435381200,9528.0
1435384800,9528.0
1435388400,9528.0
1435392000,9528.0
1435395600,9528.0
1435399200,9528.0
1435402800,9528.0
1435406400,9528.0
1435410000,9529.0
1435413600,9529.0
1435417200,9529.0
1435420800,9530.0
1435424400,9530.0
1435428000,9530.0
1435431600,9530.0
1435435200,9530.0
1435438800,9530.0
1435442400,9530.993333333334
1435446000,9532.0
1435449600,9532.0
1435453200,9532.0
1435456800,9532.0
1435460400,9532.0
1435464000,9532.0
1435467600,9532.0
1435471200,9532.0
1435474800,9532.0
1435478400,9532.0
1435482000,9532.0
1435485600,9532.0
1435489200,9532.0
1435492800,9532.0
1435496400,9532.0
1435500000,9533.0
1435503600,9533.0
1435507200,9533.0
1435510800,9533.0
1435514400,9533.0
1435518000,9533.0
1435521600,9533.0
1435525200,9533.0
1435528800,9533.0
1435532400,9533.0
1435536000,9533.0
1435539600,9533.0
1435543200,9533.0
1435546800,9533.0
1435550400,9533.0
1435554000,9533.0
1435557600,9534.0
1435561200,9535.0
1435564800,9535.0
1435568400,9535.0
1435572000,9536.0
1435575600,9536.0
1435579200,9537.0
1435582800,9538.993333333334
1435586400,9539.0
1435590000,9540.0
1435593600,9540.0
1435597200,9543.0
1435600800,9545.0
1435604400,9546.0
1435608000,9546.0
1435611600,9547.0
1435615200,9547.0
1435618800,9547.0
1435622400,9547.0
1435626000,9547.0
1435629600,9547.0
1435633200,9547.0
1435636800,9547.0
1435640400,9547.0
1435644000,9547.0
1435647600,9548.0
1435651200,9549.0
1435654800,9549.0
1435658400,9550.0
1435662000,9551.0
1435665600,9551.0
1435669200,9552.990033222592
1435672800,9555.0
1435676400,9555.0
1435680000,9556.0
1435683600,9556.0
1435687200,9558.0
1435690800,9558.0
1435694400,9558.0
1435698000,9558.0
1435701600,9558.0
1435705200,9559.0
1435708800,9559.0
1435712400,9559.0
1435716000,9559.0
1435719600,9559.0
1435723200,9559.0
1435726800,9559.0
1435730400,9559.0
1435734000,9559.0
1435737600,9559.0
1435741200,9559.0
1435744800,9559.993333333334
1435748400,9560.0
1435752000,9561.0
1435755600,9562.0
1435759200,9563.0
1435762800,9563.0
1435766400,9563.0
1435770000,9563.0
1435773600,9563.993333333334
1435777200,9564.0
1435780800,9564.0
1435784400,9564.0
1435788000,9564.0
1435791600,9564.0
1435795200,9564.0
1435798800,9564.0
1435802400,9564.0
1435806000,9564.0
1435809600,9564.0
1435813200,9564.0
1435816800,9564.0
1435820400,9564.0
1435824000,9564.0
1435827600,9566.98
1435831200,9568.0
1435834800,9568.0
1435838400,9570.0
1435840200,9574.0
1435841100,9574.0
