“Timestamp”,”Cpu system time average”
1424390400,3.6582156662940415
1424433600,5.004698387994333
1424476800,3.665064794929722
1424520000,4.993985166758716
1424563200,3.656023747045951
1424606400,5.016990790207036
1424649600,3.6938877588065013
1424692800,5.022575603959258
1424736000,3.7932377838000493
1424779200,5.492752203656156
1424822400,3.903738894969761
1424865600,5.286324815058575
1424908800,3.773536903505749
1424952000,5.470720177776229
1424995200,3.9033990653643063
1425038400,5.453103417621467
1425081600,3.9338240967222027
1425124800,5.526436823457281
1425168000,4.0370050271506095
1425211200,5.3949953037515765
1425254400,4.053567224288591
1425297600,5.453715713989761
1425340800,4.1457248180096204
1425384000,5.359824255303512
1425427200,3.998403693154633
1425470400,5.049114716690372
1425513600,3.7457828525716206
1425556800,5.015121686723374
1425600000,3.9776734332638695
1425643200,5.59921426998994
1425686400,3.936270043659309
1425729600,5.049242913280641
1425772800,3.764609526597244
1425816000,5.076458306814153
1425859200,3.769750149181615
1425902400,5.059643385978062
1426032000,3.835381018067413
1426075200,5.232799603726974
1426118400,3.8263319885653986
1426291200,3.762831068399158
1426334400,2.365232526995832
1426377600,3.8146820265135797
1426420800,2.3691876747258007
1426464000,3.823495065440597
1426507200,2.3852851644212514
1426550400,3.7642800458155934
