“Timestamp”,”Used disk space”
1430352000,43128684998.418945
1430438400,43198870891.41147
1430611200,43371380814.45153
1430697600,43418935019.8033
1430784000,43490554617.404366
1430870400,43571766664.916756
1430956800,43688109149.581635
1431043200,43782141719.326996
1431129600,43853802236.55336
1431216000,43938936656.22375
1431302400,44022096244.64697
1431388800,44083401951.89286
1431475200,44164585381.21887
1431561600,44253181310.4113
1431648000,44327842226.82904
1431734400,44428366454.38863
1431820800,44469438125.53703
1431907200,44550469132.50957
1431993600,44619061741.68436
1432080000,44959168627.98561
1432166400,39957517496.08873
1432252800,23173715848.099236
1432339200,27208991127.564453
1432425600,32025717087.25786
1432512000,42917605952.62391
1432598400,48346272889.75968
1432684800,51978402397.45494
1432771200,40858983876.10844
1432857600,41726562692.966835
1432944000,42206447509.32828
1433030400,42280927152.02726
1433116800,42377138414.19261
1433203200,42379503422.90027
1433289600,43689249590.753815
1433376000,44415811775.75816
1433462400,44473401408.235535
1433548800,44535400410.72441
1433635200,44574818958.713196
1433721600,44651252298.12161
1433808000,44668320002.90494
1433894400,44719856942.10629
1433980800,44786800679.92079
1434067200,44891686733.968666
1434153600,44906656584.76015
1434240000,44938414205.72661
1434326400,45002939038.18942
1434412800,45021383247.49254
1434499200,45084694708.21741
1434585600,45120191466.90546
1434672000,45156428434.70645
1434758400,45181960361.605934
1434844800,45189753227.180595
1434931200,45236742031.53101
1435017600,45260989224.71408
1435104000,45284876797.27289
1435190400,45331201920.434204
1435276800,45364161809.626274
1435363200,45403006228.7531
1435449600,45437284403.09645
1435536000,45513683567.433716
1435622400,45558474536.616646
1435708800,45593842005.74402
1435795200,45683698255.419685
1435838400,45731511628.59029
1435842000,45759047225.36183
1435843800,45769371649.42957
1435844700,45751559229.16244
1435845000,45715227921.066666
1435845300,45715362602.33046
1435845358,45715283968
