“Timestamp”,”Free disk space”
1428105600,35989232031.85519
1428192000,35676622970.896286
1429056000,32634543361.16075
1429833600,30399504007.309532
1429920000,30074803561.40036
1430006400,29905523404.06755
1430092800,29668804761.374542
1430179200,29419535143.74024
1430265600,29219832590.450645
1430352000,29012403438.89508
1430611200,28397838836.56911
1430697600,28239117741.814342
1430784000,27976815857.264313
1430870400,27750396899.82597
1430956800,27512076604.88801
1431043200,27304279427.949295
1431129600,27082512005.93178
1431216000,26775916002.60716
1431302400,26551835052.872433
1431388800,26275648928.53858
1431475200,26134956240.215378
1431561600,25921710828.008057
1431648000,25675560918.208908
1431734400,25446839510.60391
1431820800,25231006563.36329
1431907200,24926173042.124218
1432080000,24081192391.819427
1432166400,23860094941.839108
1432252800,23322969263.403152
1432339200,22786703112.226204
1432425600,22595355966.87107
1432512000,22386445758.100716
1432598400,22095328905.86692
1432684800,21711822398.439438
1432771200,21462621846.432632
1432857600,21231264370.492027
1432944000,21017852829.871704
1433030400,20811520983.229073
1433116800,20260007943.63304
1433203200,19313301491.97242
1433289600,18511791189.96409
1433376000,17811054455.250927
1433462400,17602049968.480812
1433548800,17412257678.559986
1433635200,17219049834.0231
1433721600,16992306127.556347
1433808000,16637548027.517294
1433894400,16309480070.413784
1433980800,15991734659.053093
1434067200,15476716089.023178
1434153600,15117487373.807848
1434240000,14872463236.54918
1434326400,14545144155.869505
1434412800,14211980147.071316
1434499200,13778213134.110434
1434585600,13267281487.94483
1434672000,12536029311.05347
1434758400,12058044517.4454
1434844800,11834355263.761292
1434931200,11565393074.160198
1435017600,10992401903.161684
1435104000,10446451400.738426
1435190400,10015637130.333153
1435276800,9713351329.986965
1435363200,9434515138.840805
1435449600,9082714654.212389
1435536000,8742276716.718712
1435622400,20625841391.663055
1435708800,26502655798.51052
1435795200,26126284452.478085
1435881600,25754706833.566837
1435903200,25610351237.069946
1435906800,25600642835.34222
1435910400,25592047720.41379
1435914000,25582292824.36116
1435917600,25572334953.851902
1435921200,25562023504.801506
1435922100,25554783946.524445
1435922400,25552147360.426666
1435922700,25550469638.826668
1435922760,25549602816
1435922764,25549602816
