“Timestamp”,”Memory Usage”
1435824000,667158072.2817428
1435827600,672229485.7405629
1435831200,684651100.509615
1435834800,690563198.491467
1435838400,694998472.6999507
1435842000,699400840.9628003
1435845600,703804074.3305857
1435849200,708223601.6950417
1435852800,712639618.9023772
1435856400,716757075.1883425
1435860000,720747029.2580935
1435863600,724704066.1429257
1435867200,728581188.640832
1435870800,732460704.9431896
1435874400,736418404.1485798
1435878000,740420714.3064376
1435881600,744374292.4953709
1435885200,748367442.5755706
1435888800,752352475.5014601
1435892400,756288883.6881949
1435896000,737384701.5386093
1435899600,657845842.9297931
1435903200,661924370.2140509
1435906800,666135686.7657034
1435910400,670439056.4242678
1435914000,674728059.5334008
1435917600,678987003.36043
1435921200,683461220.3470861
1435924800,687894953.5123037
1435928400,692539866.6601913
1435932000,696842996.7897203
1435935600,700889835.6401668
1435939200,704814956.9237735
1435942800,708635480.6692986
1435946400,712501955.312134
1435950000,716365750.9710557
1435953600,720136566.1900039
1435957200,723914347.6032796
1435960800,727685801.9603158
1435964400,731521789.1354749
1435968000,734026016.1785008
1435971600,733633558.6585691
1435975200,737354446.9142206
1435978800,741045208.479464
1435982400,714714230.8822682
1435986000,613550253.016633
1435989600,617155653.7353022
1435993200,620880514.3149645
1435996800,624631569.7521703
1436000400,628035433.8348862
1436004000,631804031.935494
1436007600,635659722.1024013
1436011200,639497581.9985361
1436014800,643374519.1113144
1436018400,647279581.61854
1436022000,651043986.0469031
1436025600,654833912.3384149
1436029200,658659436.1802933
1436032800,662463365.9787408
1436036400,666277334.7529626
1436040000,670068896.6718993
1436043600,673864177.6801763
1436047200,677622158.118898
1436050800,681475186.8084617
1436054400,685144866.0032274
1436058000,688839231.3758031
1436061600,692555333.9603593
1436065200,696259815.3640604
1436068800,663265617.3966393
1436072400,536239013.14982414
1436076000,539943235.7791831
1436079600,543626518.494048
1436083200,547357650.3208394
1436086800,551081986.0409651
1436090400,554822774.5591872
1436094000,558620640.4522011
1436097600,562462507.1789855
1436101200,566280017.271994
1436104800,570109879.0700545
1436108400,573922944.2970002
1436112000,577726146.1143525
1436115600,581599608.9778739
1436119200,585699482.3527744
1436122800,589656228.6034713
1436126400,593449294.482256
1436130000,597178227.1046519
1436133600,600993538.2533834
1436137200,604792396.5279231
1436140800,608484714.1842569
1436144400,612193137.6232476
1436148000,615886414.1957712
1436151600,619613117.4134318
1436155200,607223071.7397482
1436158800,551906661.264323
1436162400,555788519.6062381
1436166000,559852777.9650114
1436169600,564138120.3223383
1436173200,568447550.0187016
1436176800,572805019.7474501
1436180400,577517758.2020664
1436184000,582163981.5819814
1436187600,586932335.8955269
1436191200,591505232.634974
1436194800,596018639.1432128
1436198400,600398731.4570137
1436202000,604613154.7476069
1436205600,608743422.2088166
1436209200,612849983.3138665
1436212800,616762339.5668666
1436216400,620579413.3300337
1436220000,624392087.6818657
1436223600,628348173.3304107
1436227200,632219082.3522272
1436230800,636017119.7824918
1436234400,639840152.6556247
1436238000,643684706.2984614
1436241600,621320592.8621572
1436245200,530703830.33051693
1436248800,534742185.14228064
1436252400,538795956.3091867
1436256000,542951082.1342391
1436259600,546050550.6738932
1436263200,549450370.5234073
1436266800,553596782.479028
1436270400,705664521.334306
1436274000,889066030.3050132
1436277600,893781056.997395
1436281200,897673531.8806765
1436284800,854028465.2696652
1436288400,788191949.951308
1436292000,785781477.3733444
1436295600,787444246.2608695
1436299200,789498178.4891682
1436302800,793445773.6247535
1436306400,797463879.6262057
1436310000,801492102.3094668
1436313600,805428563.0584755
1436317200,809309468.1232078
1436320800,813222432.3979611
1436324400,817169356.5657792
1436328000,798041549.6166344
1436331600,717651222.8447524
1436335200,721863051.2895907
1436338800,726188806.6538051
1436342400,730540250.3673702
1436346000,734834131.885177
1436349600,739338239.1023444
1436353200,743788027.2181455
1436356800,748255722.7903401
1436360400,752822239.2733124
1436364000,757398206.8006532
1436367600,761797663.1512747
1436371200,766126412.2225546
1436374800,767433875.5526519
1436378400,759238082.579489
1436382000,762164759.2265209
1436385600,766255738.1547887
1436389200,770320626.3724856
1436392800,774371865.3061566
1436396400,778594442.5354902
1436400000,782633424.3520055
1436403600,786615870.9981501
1436407200,790559770.1540027
1436410800,794527870.7863884
1436414400,778905892.4004037
1436418000,711855192.6221683
1436421600,716107612.7486475
1436425200,720511361.4975837
1436428800,725011299.9586161
1436429700,727792825.528148
1436430000,728517728.8037571
1436430300,728877895.0272219
1436430360,729086680.9491526
1436430387,729116672
1436430447,729206784
