“Timestamp”,”Committed Bytes”
1433289600,55076879254.12605
1433332800,40569667308.2153
1433376000,14343928394.277496
1433419200,24806039203.88526
1433462400,26498628654.69462
1433505600,32800647513.969788
1433548800,34307233997.442955
1433592000,40802687054.13953
1433635200,42448104028.91953
1433678400,42450162751.49947
1433721600,42451915045.08691
1433764800,48322283788.28903
1433808000,50574804019.918175
1433851200,49968114706.52963
1433894400,51001579081.27054
1433937600,50119871859.15953
1433980800,50276494808.18847
1434024000,50160080179.78992
1434067200,50155866609.48847
1434110400,50810410978.62872
1434153600,50218001003.53436
1434196800,50048705701.010735
1434240000,50056595018.244125
1434283200,50062212645.06865
1434326400,50057647699.25699
1434369600,50193961979.79029
1434412800,50386390759.56416
1434456000,51714554602.316765
1434499200,50139503990.09476
1434542400,50113473077.24725
1434585600,50496441903.12312
1434628800,51280424859.90341
1434672000,15878344622.339455
1434715200,10661055724.727896
1434758400,10570418215.816582
1434801600,10578536296.034653
1434844800,10581183015.06795
1434888000,10585366362.114372
1434931200,10589514773.714113
1434974400,10602068374.166927
1435708800,10524078663.805153
1435752000,10544652363.013544
1435795200,10545487755.659592
1435838400,10548471203.07853
1435881600,10421240481.245796
1435903200,10400305334.2957
1435906800,10399996048.081522
1435910400,10400582205.860266
1435914000,10401522072.037846
1435915800,10400063708.619534
1435916700,10401854841.993727
1435916760,10403637176.118305
1435916820,10403850677.27307
1435916880,10403417137.707834
