“Timestamp”,”Used disk space”
1424368800,8286045785.825732
1424390400,9244124011.428293
1424412000,9014249425.036943
1424433600,9085942886.35848
1424455200,9073955746.373482
1424476800,9778321233.307959
1424498400,9572555064.174538
1424520000,9681506064.603388
1424541600,9667514042.901999
1424563200,10383459628.77446
1424584800,10198048225.881819
1424606400,10239870729.509459
1424628000,10165222816.594404
1424649600,10885943205.039267
1424671200,10706833999.698874
1424692800,10557478435.997879
1424714400,10543779473.711472
1424736000,11365815290.66545
1424757600,11343899289.283241
1424779200,11244053564.827166
1424800800,11296685108.279762
1424822400,12114546526.836832
1424844000,12096763964.477234
1424865600,11879713066.420969
1424887200,11930756770.88589
1424908800,12763666949.407143
1424930400,12621670692.897797
1424952000,12365535193.890375
1424973600,12398526151.569939
1424995200,13219315711.884008
1425016800,13221591312.729645
1425038400,13023863401.321768
1425060000,13059037865.564688
1425081600,13927597082.62306
1425103200,13891138355.279442
1425124800,13655694461.4134
1425146400,13715613418.651148
1425168000,14592311185.15306
1425189600,14536721134.55245
1425211200,13884298024.697443
1425232800,13912340352.334154
1425254400,14766962006.006598
1425276000,14726955878.132418
1425297600,14504758770.472662
1425319200,14565447890.199097
1425340800,15451588348.920832
1425362400,15415776365.23445
1425384000,15138441780.957497
1425405600,15186653347.614267
1425427200,16081851850.476622
1425448800,15959498208.976639
1425470400,15654692577.973633
1425492000,15637442038.471003
1425513600,16364741424.990807
1425535200,16119076960.35266
1425556800,16130969807.732962
1425578400,16144731874.575357
1425600000,17027168684.228785
1425621600,16977709076.148909
1425643200,16828639638.089506
1425664800,16900630808.199137
1425686400,17767634397.68204
1425708000,17664300576.06573
1425729600,17356161998.254356
1425751200,17338925989.68304
1425772800,18102144247.989136
1425794400,17908855558.100784
1425816000,17824529869.399647
1425837600,17834057376.868942
1425859200,18604307877.31882
1425880800,18407359286.50462
