“Timestamp”,“Used disk space” 
1433505600,5919855016.726459
1433548800,5925553662.634657
1433592000,5944019524.599314
1433635200,5948328779.92116
1433678400,5946949266.438784
1433721600,5816706948.090813
1433764800,5838604954.406342
1433808000,5846111728.950178
1433851200,5867383969.633655
1433894400,5875985667.592636
1433937600,5897603703.307923
1433980800,5902098821.044144
1434024000,5922875881.487738
1434067200,5929336163.327297
1434110400,5950010040.745504
1434153600,5956257204.634154
1434196800,5976426303.993852
1434240000,5981869496.069071
1434283200,5983294251.892113
1434326400,5862271534.176678
1434369600,5885223398.861571
1434412800,5900174148.471588
1434456000,5921287505.434135
1434499200,5927115721.575066
1434542400,5947427986.73138
1434585600,5954968292.039266
1434628800,5976305712.556458
1434672000,5981126442.154278
1434715200,6001605896.191453
1434758400,6008534062.812761
1434801600,5846081638.620129
1434931200,4090356089.7745876
1434974400,4114087502.4740324
1435017600,5393380716.866402
1435060800,6525748983.765465
1435104000,6494334942.38839
1435147200,6563275195.988134
1435190400,6556622321.446146
1435233600,6612333177.312155
1435276800,6551341145.161808
1435320000,6619032762.083908
1435363200,6595621937.57295
1435406400,6649169020.217184
1435449600,6636337633.051083
1435492800,6689084535.382637
1435536000,6675585642.932192
1435579200,6736606973.014784
1435622400,6725358423.590616
1435665600,6781438810.913189
1435708800,6753545774.042646
1435752000,6799072902.778383
1435795200,6783881098.181326
1435816800,6837952594.350881
1435820400,6857927317.567461
1435824000,6864233503.500401
1435827600,6869026135.163002
