“Timestamp”,“Users”
1433246400,5449.0
1433289600,5473.0
1433332800,5490.0
1433376000,5501.0
1433419200,5511.0
1433462400,5516.0
1433505600,5525.0
1433548800,5544.0
1433592000,5548.0
1433635200,5550.0
1433678400,5550.0
1433721600,5553.0
1433764800,5569.0
1433808000,5581.0
1433851200,5597.0
1433894400,5606.0
1433937600,5616.0
1433980800,5625.0
1434024000,5638.0
1434067200,5645.0
1434110400,5649.0
1434153600,5653.0
1434196800,5654.0
1434240000,5656.0
1434283200,5657.0
1434326400,5665.0
1434369600,5675.0
1434412800,5680.0
1434456000,5686.0
1434499200,5690.0
1434542400,5693.0
1434585600,5695.0
1434628800,5699.0
1434672000,5702.0
1434715200,5705.0
1434758400,5711.0
1434801600,5712.0
1434844800,5713.0
1434888000,5713.0
1434931200,5714.0
1434974400,5719.0
1435017600,5725.0
1435060800,5737.0
1435104000,9481.0
1435147200,9488.0
1435190400,9492.0
1435233600,9498.0
1435276800,9513.0
1435320000,9522.0
1435363200,9528.0
1435406400,9528.0
1435449600,9532.0
1435492800,9532.0
1435536000,9533.0
1435579200,9537.0
1435622400,9547.0
1435665600,9551.0
1435708800,9559.0
1435752000,9561.0
1435795200,9564.0
1435838400,9570.0
1435840200,9574.0
1435841100,9574.0
