“Timestamp”,”Available Bytes”
1423267200,13211112901.969582
1423353600,13669829313.963959
1423440000,13574374929.388912
1423526400,12929920043.268457
1423612800,13681774987.57268
1423699200,13523135183.472912
1423785600,13441090837.912354
1423872000,13354791547.851986
1423958400,13271609163.537289
1424044800,13184018451.890085
1424131200,13103769169.424015
1424217600,13031206907.55189
1424304000,12955009701.217434
1424390400,12869154139.18146
1430265600,11948538402.662445
1430352000,11907874278.286747
1430438400,11868830896.781681
1430611200,11744367032.629728
1430697600,11714659125.686325
1430784000,11680827420.32864
1430870400,11630689926.830967
1431043200,11828029141.743164
1431129600,11726359330.471481
1431216000,11604544222.20492
1431302400,11476446078.222776
1431388800,11710260475.502283
1431475200,12062373031.2616
1431561600,12052196211.583916
1431648000,12043655043.043736
1431734400,11900364466.068127
1431820800,11778812674.301739
1431907200,11742510867.30106
1431993600,11691508890.97683
1432080000,11797656407.895996
1432166400,12126918977.508373
1432252800,11985900166.763556
1432339200,11731664849.736362
1432425600,11606558800.284405
1432512000,11566752338.701889
1432598400,11514134705.334602
1432684800,11466294196.84903
1432771200,11433174356.464672
1432857600,11394271608.100367
1432944000,11346982829.077408
1433030400,11314092467.650122
1433116800,11274400772.325245
1433203200,11239067728.06886
1433289600,11191156977.655262
1433376000,11167999893.754322
1433462400,11133721099.142752
1433548800,11305050264.188177
1433635200,11420393920.497593
1433721600,11631592044.594357
1433808000,11521275851.187706
1433894400,11457381802.974533
1433980800,11441191152.025122
1434067200,11446458247.754566
1434153600,11399183309.366592
1434240000,11386889360.401052
1434326400,11366791641.34331
1434412800,11350774690.187391
1434499200,11318497449.660795
1434585600,11314192252.01941
1434672000,11303186885.492046
1434758400,11129977979.249794
1434844800,11008505234.095625
1434931200,10961426916.13282
1435017600,10920038488.562862
1435104000,10958964691.919819
1435190400,10874283503.993664
1435536000,10716078390.255295
1435622400,10673843096.592365
1435708800,10537855764.322075
1435795200,10643725217.027779
1435881600,10586543979.358353
1435885200,10607948352.19482
1435887000,10621710633.58184
1435887900,10620117726.744581
1435888200,10618485592.537067
1435888500,10619968639.068186
1435888560,10621877438.915255
1435888612,10621140992
