“Timestamp”,”Used disk space”
1433246400,43583905417.3061
1433289600,43794593764.20152
1433332800,44387312361.49304
1433376000,44444311190.02329
1433419200,44462167019.20765
1433462400,44484635797.26341
1433505600,44525940426.80202
1433548800,44544860394.64681
1433592000,44557772322.5455
1433635200,44591865594.8809
1433678400,44651493514.6488
1433721600,44651011081.59442
1433764800,44658074474.59568
1433808000,44678565531.214195
1433851200,44699390989.413574
1433894400,44740322894.79902
1433937600,44764015671.08164
1433980800,44809585688.75994
1434024000,44897932898.903275
1434067200,44885440569.03406
1434110400,44901295473.5576
1434153600,44912017695.9627
1434196800,44925395895.87634
1434240000,44951432515.57687
1434283200,45019082247.65163
1434326400,44986795828.72722
1434369600,45016250324.4348
1434412800,45026516170.55028
1434456000,45092477984.14778
1434499200,45076911432.28703
1434542400,45114953433.01407
1434585600,45125429500.79685
1434628800,45160059880.56219
1434672000,45152796988.850716
1434715200,45181279321.074905
1434758400,45182641402.13696
1434801600,45179664943.74924
1434844800,45199841510.61195
1434888000,45242136559.946
1434931200,45231347503.11603
1434974400,45266156206.80765
1435017600,45255822242.62052
1435060800,45284475255.70829
1435104000,45285278338.837494
1435147200,45326571225.40997
1435190400,45335832615.458435
1435233600,45355619491.63017
1435276800,45372704127.622375
1435320000,45400761761.17639
1435363200,45405250696.3298
1435406400,45420331779.78006
1435449600,45454237026.412834
1435492800,45509870083.07329
1435536000,45517497051.794136
1435579200,45559429708.6425
1435622400,45557519364.59079
1435665600,45576018298.65788
1435708800,45611665712.83015
1435752000,45676142364.99684
1435795200,45691254145.84253
1435838400,45731511628.59029
1435842000,45759047225.36183
1435843800,45769371649.42957
1435843858,45754839040
